stp_name,boroughs,start_date,end_date,dose,age_band,vaccines,population,percent_vaccine
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-01-24,1st dose,Under 80,92150,1397804,0.06592483638621724
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-01-24,1st dose,Under 80,87226,1139441,0.07655157221830705
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-01-24,2nd dose,80+,5973,57517,0.10384755811325347
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-01-24,2nd dose,80+,9052,51226,0.17670714090500916
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-01-24,2nd dose,80+,9029,77033,0.11720950761362013
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-01-24,2nd dose,80+,7764,60667,0.12797731880594063
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-01-24,2nd dose,80+,8095,55290,0.14640983903056612
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-01-24,2nd dose,Under 80,2624,1522657,0.0017233034097633281
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-01-24,2nd dose,Under 80,3268,1159281,0.002818988666250892
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-01-24,2nd dose,Under 80,2618,1597492,0.0016388188485450944
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-01-24,2nd dose,Under 80,3161,1397804,0.002261404317057327
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-01-24,2nd dose,Under 80,4051,1139441,0.003555252092912226
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-01-31,1st dose,70-74,31285,51198,0.611059025743193
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-01-31,1st dose,70-74,29394,46739,0.6288966387813175
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-01-31,1st dose,70-74,39843,69815,0.5706939769390532
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-01-31,1st dose,70-74,37385,54280,0.6887435519528371
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-01-31,1st dose,70-74,29087,51514,0.5646426214233023
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-01-31,1st dose,75-79,26035,36008,0.7230337702732726
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-01-31,1st dose,75-79,25361,33389,0.7595615322411573
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-01-31,1st dose,75-79,37414,50001,0.748265034699306
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-01-31,1st dose,75-79,30355,38296,0.7926415291414247
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-01-31,1st dose,75-79,28076,35616,0.7882973944294699
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-01-31,1st dose,80+,40009,57517,0.695603039101483
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-01-31,1st dose,80+,37528,51226,0.7325967282239487
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-01-31,1st dose,80+,58210,77033,0.7556501758986408
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-01-31,1st dose,80+,46265,60667,0.7626056999686814
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-01-31,1st dose,80+,43946,55290,0.7948272743714957
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-01-31,1st dose,Under 70,77778,1435451,0.0541836677114022
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-01-31,1st dose,Under 70,68064,1079153,0.06307168677657385
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-01-31,1st dose,Under 70,92622,1477676,0.06268085832076856
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-01-31,1st dose,Under 70,85366,1305228,0.06540313263276608
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-01-31,1st dose,Under 70,80799,1052311,0.0767824340903022
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-01-31,2nd dose,70-74,181,51198,0.0035352943474354468
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-01-31,2nd dose,70-74,228,46739,0.004878153148334367
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-01-31,2nd dose,70-74,176,69815,0.002520948220296498
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-01-31,2nd dose,70-74,166,54280,0.003058216654384672
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-01-31,2nd dose,70-74,207,51514,0.004018325115502582
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-01-31,2nd dose,75-79,142,36008,0.003943568095978672
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-01-31,2nd dose,75-79,749,33389,0.022432537662104287
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-01-31,2nd dose,75-79,221,50001,0.004419911601767965
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-01-31,2nd dose,75-79,285,38296,0.007442030499268853
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-01-31,2nd dose,75-79,281,35616,0.007889712488769093
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-01-31,2nd dose,80+,6170,57517,0.10727263243910495
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-01-31,2nd dose,80+,9343,51226,0.1823878499199625
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-01-31,2nd dose,80+,9242,77033,0.11997455635896304
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-01-31,2nd dose,80+,8526,60667,0.1405376893533552
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-01-31,2nd dose,80+,8379,55290,0.1515463917525773
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-01-31,2nd dose,Under 70,2744,1435451,0.0019115943351601691
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-01-31,2nd dose,Under 70,2652,1079153,0.0024574828592423873
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-01-31,2nd dose,Under 70,2765,1477676,0.0018711815039291427
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-01-31,2nd dose,Under 70,3205,1305228,0.0024555096887287123
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-01-31,2nd dose,Under 70,3952,1052311,0.003755543750849321
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-07,1st dose,70-74,39935,51198,0.7800109379272628
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-07,1st dose,70-74,36565,46739,0.7823231134598515
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-07,1st dose,70-74,53533,69815,0.7667836424837069
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-07,1st dose,70-74,45188,54280,0.8324981577008106
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-07,1st dose,70-74,41612,51514,0.8077804092091471
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-07,1st dose,75-79,28383,36008,0.7882415018884692
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-07,1st dose,75-79,27064,33389,0.8105663541885052
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-07,1st dose,75-79,40446,50001,0.8089038219235616
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-07,1st dose,75-79,33021,38296,0.8622571547942344
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-07,1st dose,75-79,31739,35616,0.8911444294699011
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-07,1st dose,80+,42044,57517,0.730983883025888
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-07,1st dose,80+,39069,51226,0.762679108265334
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-07,1st dose,80+,60269,77033,0.7823789804369556
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-07,1st dose,80+,48823,60667,0.8047703034598711
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-07,1st dose,80+,46440,55290,0.8399348887683126
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-07,1st dose,Under 70,110856,1435451,0.07722729650820544
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-07,1st dose,Under 70,105878,1079153,0.09811213053200056
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-07,1st dose,Under 70,146786,1477676,0.0993357136476467
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-07,1st dose,Under 70,120735,1305228,0.09250108027103311
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-07,1st dose,Under 70,105891,1052311,0.10062709598208135
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-07,2nd dose,70-74,193,51198,0.003769678503066526
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-07,2nd dose,70-74,248,46739,0.005306061319240891
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-07,2nd dose,70-74,187,69815,0.002678507484065029
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-07,2nd dose,70-74,181,54280,0.0033345615327929254
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-07,2nd dose,70-74,240,51514,0.004658927670147921
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-07,2nd dose,75-79,151,36008,0.004193512552766052
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-07,2nd dose,75-79,763,33389,0.022851837431489413
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-07,2nd dose,75-79,223,50001,0.004459910801783964
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-07,2nd dose,75-79,304,38296,0.007938165865886776
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-07,2nd dose,75-79,305,35616,0.008563566936208446
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-07,2nd dose,80+,6295,57517,0.10944590295043205
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-07,2nd dose,80+,9370,51226,0.18291492601413345
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-07,2nd dose,80+,9350,77033,0.12137655290589747
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-07,2nd dose,80+,8563,60667,0.14114757611221918
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-07,2nd dose,80+,8438,55290,0.1526134924941219
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-07,2nd dose,Under 70,2927,1435451,0.0020390804005152386
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-07,2nd dose,Under 70,2863,1079153,0.002653006570894025
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-07,2nd dose,Under 70,3020,1477676,0.00204374978006004
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-07,2nd dose,Under 70,3431,1305228,0.002628659513893358
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-07,2nd dose,Under 70,4288,1052311,0.004074840992824365
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-14,1st dose,70-74,42384,51198,0.8278448376889722
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-14,1st dose,70-74,38303,46739,0.8195083335116284
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-14,1st dose,70-74,56997,69815,0.8164004870013607
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-14,1st dose,70-74,47458,54280,0.8743183492999264
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-14,1st dose,70-74,46641,51514,0.9054043560973716
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-14,1st dose,75-79,29588,36008,0.8217062874916685
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-14,1st dose,75-79,27849,33389,0.8340770912575998
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-14,1st dose,75-79,41908,50001,0.8381432371352573
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-14,1st dose,75-79,34173,38296,0.8923386254439106
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-14,1st dose,75-79,32970,35616,0.9257075471698113
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-14,1st dose,80+,44357,57517,0.7711980805674844
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-14,1st dose,80+,40259,51226,0.7859094990824972
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-14,1st dose,80+,61815,77033,0.8024483013773318
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-14,1st dose,80+,50508,60667,0.8325448761270543
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-14,1st dose,80+,47946,55290,0.86717308735756915
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-14,1st dose,Under 70,140140,1435451,0.09762785354568007
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-14,1st dose,Under 70,150233,1079153,0.13921380934862804
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-14,1st dose,Under 70,216570,1477676,0.14656122181046455
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-14,1st dose,Under 70,165230,1305228,0.12659090978740878
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-14,1st dose,Under 70,144793,1052311,0.13759525463479902
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-14,2nd dose,70-74,200,51198,0.003906402593851322
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-14,2nd dose,70-74,273,46739,0.005840946532874045
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-14,2nd dose,70-74,214,69815,0.0030652438587696054
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-14,2nd dose,70-74,202,54280,0.0037214443625644806
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-14,2nd dose,70-74,270,51514,0.005241293628916411
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-14,2nd dose,75-79,159,36008,0.004415685403243724
North London Partners in Health and Care,"Barnet, Camden, Enfield, Haringey, Islington",2020-12-08,2021-02-14,2nd dose,75-79,782,33389,0.023420887118512083
North West London Health and Care Partnership,"Brent, Ealing, Hammersmith and Fulham, Harrow, Hillingdon, Hounslow, Kensington and Chelsea, Westminster",2020-12-08,2021-02-14,2nd dose,75-79,244,50001,0.004879902401951961
Our Healthier South East London,"Bexley, Bromley, Greenwich, Lambeth, Lewisham, Southwark",2020-12-08,2021-02-14,2nd dose,75-79,323,38296,0.0084343012325047
South West London Health and Care Partnership,"Croydon, Kingston upon Thames, Merton, Richmond upon Thames, Sutton, Wandsworth",2020-12-08,2021-02-14,2nd dose,75-79,317,35616,0.008900494159928123
East London Health and Care Partnership,"Barking and Dagenham, Hackney and City of London, Havering, Newham, Redbridge, Tower Hamlets, Waltham Forest",2020-12-08,2021-02-14,2nd dose,80+,6299,57517,0.10951544760679452
